iter	Passed	Remaining
0	166	166002
1	218	109050
2	273	90860
3	344	85743
4	404	80532
5	489	81138
6	534	75756
7	597	74119
8	655	72221
9	699	69291
10	756	67979
11	805	66290
12	862	65483
13	912	64247
14	960	63046
15	1004	61793
16	1058	61213
17	1102	60156
18	1150	59403
19	1191	58400
20	1231	57410
21	1285	57132
22	1349	57334
23	1394	56718
24	1434	55927
25	1473	55215
26	1512	54489
27	1552	53907
28	1612	53997
29	1656	53572
30	1703	53254
31	1751	52990
32	1796	52639
33	1857	52782
34	1901	52418
35	1940	51966
36	1995	51938
37	2052	51954
38	2103	51843
39	2146	51524
40	2200	51471
41	2270	51794
42	2323	51720
43	2376	51644
44	2436	51713
45	2482	51478
46	2554	51794
47	2596	51487
48	2663	51688
49	2718	51655
50	2767	51490
51	2830	51602
52	2877	51420
53	2937	51469
54	2983	51259
55	3026	51023
56	3069	50779
57	3110	50526
58	3164	50466
59	3209	50287
60	3256	50121
61	3306	50027
62	3354	49886
63	3406	49815
64	3447	49588
65	3485	49319
66	3562	49608
67	3647	49995
68	3701	49940
69	3744	49754
70	3786	49542
71	3823	49279
72	3864	49079
73	3904	48858
74	3947	48690
75	3986	48461
76	4027	48278
77	4072	48140
78	4116	47987
79	4163	47884
80	4202	47678
81	4250	47579
82	4341	47968
83	4396	47944
84	4467	48091
85	4508	47915
86	4551	47768
87	4594	47610
88	4635	47453
89	4675	47270
90	4712	47075
91	4750	46887
92	4793	46752
93	4831	46563
94	4867	46371
95	4904	46184
96	4940	45996
97	4979	45835
98	5019	45678
99	5058	45528
100	5099	45389
101	5142	45274
102	5188	45181
103	5227	45040
104	5265	44877
105	5304	44739
106	5342	44587
107	5378	44425
108	5416	44272
109	5465	44218
110	5513	44154
111	5549	44003
112	5587	43861
113	5627	43733
114	5663	43582
115	5705	43481
116	5765	43509
117	5814	43463
118	5855	43353
119	5928	43473
120	5965	43339
121	6008	43244
122	6059	43203
123	6099	43090
124	6140	42980
125	6190	42938
126	6230	42826
127	6275	42751
128	6315	42645
129	6358	42553
130	6406	42499
131	6454	42443
132	6495	42340
133	6537	42249
134	6597	42270
135	6640	42187
136	6678	42067
137	6713	41936
138	6752	41826
139	6788	41703
140	6828	41597
141	6875	41543
142	6932	41544
143	7000	41612
144	7144	42127
145	7198	42108
146	7244	42040
147	7288	41956
148	7331	41873
149	7382	41832
150	7427	41761
151	7488	41780
152	7539	41736
153	7593	41712
154	7636	41629
155	7681	41556
156	7723	41468
157	7766	41386
158	7806	41289
159	7856	41244
160	7898	41160
161	7935	41050
162	7975	40953
163	8013	40848
164	8057	40774
165	8103	40710
166	8139	40601
167	8174	40485
168	8211	40375
169	8252	40291
170	8287	40178
171	8329	40096
172	8366	39996
173	8407	39912
174	8454	39857
175	8502	39806
176	8550	39758
177	8599	39710
178	8647	39664
179	8698	39626
180	8736	39533
181	8772	39429
182	8807	39320
183	8844	39221
184	8882	39128
185	8927	39069
186	8975	39021
187	9013	38932
188	9051	38840
189	9088	38745
190	9130	38671
191	9175	38614
192	9211	38516
193	9253	38445
194	9658	39870
195	9726	39897
196	9793	39917
197	9846	39882
198	9896	39834
199	9958	39834
200	10016	39817
201	10077	39810
202	10158	39882
203	10223	39893
204	10271	39832
205	10320	39778
206	10359	39685
207	10402	39608
208	10445	39533
209	10497	39490
210	10566	39511
211	10651	39591
212	10693	39511
213	10735	39429
214	10775	39341
215	10816	39259
216	10856	39173
217	10899	39099
218	10951	39055
219	10991	38970
220	11034	38894
221	11098	38895
222	11145	38833
223	11191	38769
224	11242	38723
225	11292	38675
226	11336	38604
227	11376	38519
228	11416	38438
229	11458	38360
230	11508	38312
231	11551	38240
232	11594	38167
233	11635	38088
234	11682	38029
235	11743	38016
236	11782	37933
237	11836	37896
238	11875	37813
239	11917	37737
240	11956	37654
241	11995	37573
242	12038	37502
243	12079	37425
244	12117	37342
245	12162	37279
246	12206	37213
247	12249	37142
248	12357	37271
249	12397	37191
250	12439	37121
251	12482	37052
252	12541	37029
253	12579	36946
254	12625	36884
255	12677	36843
256	12750	36861
257	12795	36798
258	12839	36733
259	12886	36676
260	12932	36617
261	12976	36553
262	13017	36479
263	13061	36414
264	13106	36351
265	13148	36282
266	13201	36241
267	13242	36168
268	13285	36101
269	13323	36024
270	13363	35949
271	13402	35872
272	13441	35793
273	13480	35717
274	13533	35679
275	13578	35619
276	13617	35542
277	13665	35491
278	13706	35419
279	13749	35355
280	13790	35284
281	13826	35203
282	13868	35135
283	13910	35069
284	13951	35000
285	14003	34958
286	14042	34886
287	14082	34813
288	14130	34764
289	14170	34693
290	14214	34633
291	14254	34561
292	14297	34499
293	14338	34431
294	14388	34386
295	14438	34339
296	14475	34264
297	14518	34201
298	14557	34130
299	14599	34064
300	14640	34000
301	14678	33926
302	14726	33876
303	14782	33844
304	14842	33820
305	14887	33765
306	14937	33718
307	14991	33682
308	15033	33617
309	15086	33579
310	15135	33531
311	15194	33505
312	15235	33440
313	15276	33374
314	15313	33301
315	15376	33282
316	15417	33218
317	15464	33166
318	15504	33099
319	15547	33039
320	15626	33054
321	15670	32995
322	15712	32932
323	15764	32891
324	15805	32825
325	15850	32770
326	15892	32709
327	15936	32649
328	15991	32615
329	16038	32562
330	16078	32497
331	16119	32434
332	16162	32372
333	16204	32312
334	16252	32262
335	16292	32197
336	16338	32144
337	16374	32070
338	16414	32006
339	16454	31941
340	16494	31876
341	16536	31815
342	16577	31752
343	16619	31693
344	16661	31633
345	16716	31597
346	16754	31530
347	16802	31480
348	16857	31445
349	16904	31394
350	16957	31353
351	17001	31297
352	17064	31276
353	17112	31227
354	17147	31154
355	17195	31107
356	17236	31044
357	17279	30986
358	17333	30949
359	17373	30886
360	17420	30835
361	17463	30777
362	17563	30821
363	17632	30808
364	17678	30754
365	17715	30687
366	17751	30618
367	17788	30549
368	17941	30680
369	17981	30617
370	18026	30562
371	18073	30510
372	18115	30450
373	18153	30385
374	18190	30318
375	18227	30250
376	18275	30200
377	18314	30136
378	18358	30081
379	18399	30019
380	18444	29966
381	18486	29908
382	18536	29861
383	18581	29807
384	18620	29744
385	18670	29698
386	18711	29638
387	18758	29588
388	18806	29538
389	18844	29473
390	18884	29412
391	18925	29353
392	18968	29297
393	19018	29251
394	19059	29191
395	19111	29149
396	19148	29083
397	19195	29034
398	19233	28970
399	19270	28905
400	19307	28840
401	19346	28779
402	19383	28714
403	19419	28649
404	19457	28586
405	19497	28526
406	19544	28476
407	19617	28464
408	19660	28408
409	19702	28352
410	19743	28294
411	19784	28235
412	19829	28183
413	19882	28142
414	19922	28083
415	19962	28023
416	20000	27962
417	20039	27901
418	20078	27841
419	20118	27782
420	20157	27721
421	20198	27665
422	20247	27618
423	20307	27587
424	20349	27531
425	20392	27476
426	20436	27423
427	20478	27368
428	20515	27306
429	20554	27246
430	20594	27188
431	20632	27128
432	20672	27069
433	20710	27010
434	20757	26960
435	20797	26903
436	20842	26852
437	20887	26801
438	20929	26745
439	20971	26691
440	21010	26632
441	21055	26580
442	21099	26529
443	21149	26484
444	21257	26512
445	21323	26486
446	21381	26451
447	21499	26491
448	21548	26443
449	21593	26392
450	21642	26345
451	21686	26292
452	21726	26234
453	21770	26182
454	21809	26123
455	21850	26066
456	21892	26012
457	21931	25953
458	21970	25895
459	22034	25867
460	22079	25815
461	22127	25767
462	22171	25715
463	22228	25678
464	22268	25620
465	22311	25567
466	22355	25514
467	22396	25459
468	22443	25411
469	22494	25366
470	22536	25311
471	22577	25256
472	22619	25202
473	22659	25145
474	22697	25087
475	22735	25028
476	22772	24968
477	22808	24908
478	22846	24849
479	22890	24797
480	22934	24746
481	22982	24698
482	23025	24646
483	23067	24592
484	23105	24534
485	23152	24486
486	23212	24451
487	23251	24395
488	23292	24340
489	23334	24286
490	23376	24233
491	23423	24185
492	23483	24150
493	23522	24093
494	23567	24043
495	23606	23987
496	23645	23930
497	23689	23879
498	23730	23825
499	23772	23772
500	23815	23719
501	23855	23665
502	23892	23607
503	23933	23554
504	23971	23497
505	24011	23442
506	24068	23403
507	24108	23349
508	24146	23292
509	24182	23234
510	24219	23176
511	24260	23123
512	24301	23069
513	24340	23014
514	24379	22959
515	24420	22905
516	24460	22851
517	24499	22797
518	24536	22739
519	24580	22689
520	24619	22634
521	24659	22581
522	24701	22528
523	24803	22531
524	24851	22484
525	24894	22433
526	24934	22379
527	24975	22326
528	25012	22270
529	25056	22219
530	25100	22169
531	25138	22114
532	25176	22058
533	25225	22013
534	25282	21974
535	25320	21919
536	25358	21863
537	25396	21808
538	25433	21752
539	25480	21705
540	25520	21651
541	25557	21596
542	25598	21544
543	25636	21489
544	25682	21441
545	25725	21390
546	25762	21335
547	25799	21280
548	25840	21227
549	25890	21183
550	25929	21129
551	25967	21075
552	26006	21021
553	26043	20966
554	26083	20913
555	26121	20859
556	26160	20805
557	26200	20753
558	26239	20700
559	26281	20649
560	26319	20595
561	26360	20544
562	26399	20491
563	26437	20437
564	26478	20386
565	26520	20335
566	26568	20289
567	26623	20248
568	26666	20199
569	26708	20148
570	26750	20097
571	26793	20048
572	26851	20009
573	26890	19956
574	26929	19904
575	26969	19852
576	27013	19803
577	27058	19755
578	27100	19704
579	27141	19654
580	27187	19607
581	27233	19559
582	27276	19509
583	27338	19473
584	27389	19430
585	27437	19384
586	27480	19334
587	27517	19280
588	27559	19230
589	27596	19177
590	27634	19124
591	27674	19073
592	27712	19019
593	27767	18979
594	27906	18995
595	27959	18952
596	28003	18903
597	28043	18851
598	28084	18801
599	28124	18749
600	28172	18703
601	28213	18652
602	28258	18605
603	28301	18555
604	28343	18505
605	28405	18468
606	28452	18421
607	28510	18381
608	28561	18337
609	28604	18287
610	28646	18238
611	28687	18187
612	28724	18134
613	28767	18084
614	28811	18036
615	28852	17986
616	28894	17935
617	28939	17888
618	28984	17840
619	29027	17790
620	29066	17739
621	29109	17690
622	29159	17645
623	29197	17593
624	29235	17541
625	29272	17488
626	29310	17436
627	29347	17384
628	29392	17336
629	29448	17295
630	29492	17246
631	29530	17195
632	29573	17145
633	29613	17095
634	29653	17044
635	29696	16996
636	29734	16944
637	29773	16893
638	29816	16844
639	29864	16799
640	29911	16752
641	29955	16704
642	29999	16655
643	30040	16606
644	30078	16555
645	30121	16506
646	30161	16455
647	30197	16403
648	30234	16351
649	30271	16300
650	30322	16255
651	30374	16212
652	30411	16160
653	30448	16108
654	30488	16059
655	30532	16010
656	30572	15961
657	30609	15909
658	30650	15860
659	30690	15810
660	30731	15761
661	30770	15710
662	30808	15659
663	30845	15608
664	30880	15556
